,pct_change,acc_pct_change,pos_change_in_a_row,neg_change_in_a_row,RSI_14,Close_Minus_SuperTrend,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Close_Minus_EMA_200,Close_Minus_EMA_100,Close_Minus_EMA_50,Close_Minus_EMA_20,IS_EMA_Ribbon,Minute_Number,is_win
200,0.011,0.011,1,0,56.56,0.9400000000000013,-0.033,0.077,-0.11,1.216,0.487,0.238,0.289,0,45.0,0
201,-0.005,-0.005,0,1,52.81,0.7399999999999984,-0.018,0.073,-0.092,1.066,0.34,0.095,0.135,0,46.0,0
202,0.002,0.002,1,0,54.44,0.8099999999999987,-0.001,0.073,-0.074,1.124,0.402,0.158,0.186,0,47.0,0
203,-0.002,-0.002,0,1,52.76,0.7000000000000028,0.008,0.065,-0.057,1.054,0.335,0.094,0.114,0,48.0,0
204,-0.001,-0.003,0,2,51.9,0.6700000000000017,0.012,0.056,-0.043,1.013,0.299,0.062,0.076,0,49.0,0
205,0.0,0.0,0,0,51.9,0.6700000000000017,0.016,0.047,-0.031,1.003,0.293,0.059,0.068,0,50.0,0
206,0.007,0.007,1,0,57.53,0.8200000000000003,0.035,0.053,-0.018,1.201,0.493,0.259,0.252,0,51.0,0
207,-0.006,-0.006,0,1,52.2,0.5899999999999999,0.036,0.043,-0.007,1.021,0.317,0.085,0.074,0,52.0,0
208,-0.001,-0.007,0,2,51.3,0.5599999999999987,0.034,0.033,0.001,0.981,0.281,0.053,0.04,0,53.0,0
209,0.003,0.003,1,0,53.6,0.6400000000000006,0.039,0.03,0.009,1.051,0.354,0.128,0.108,0,54.0,0
210,0.0,0.003,0,0,53.6,0.6400000000000006,0.042,0.027,0.015,1.04,0.347,0.123,0.098,1,55.0,0
211,-0.003,-0.003,0,1,50.81,0.5599999999999987,0.037,0.018,0.02,0.951,0.262,0.041,0.016,1,56.0,0
212,-0.006,-0.009000000000000001,0,2,45.12,0.379999999999999,0.019,-0.0,0.02,0.763,0.08,-0.133,-0.148,0,57.0,0
213,-0.005,-0.014000000000000002,0,3,41.51,0.25,-0.006,-0.02,0.014,0.627,-0.049,-0.253,-0.252,0,58.0,0
214,0.0,0.0,0,0,41.89,0.26000000000000156,-0.024,-0.031,0.007,0.63,-0.038,-0.234,-0.219,0,59.0,0
215,-0.002,-0.002,0,1,39.91,0.19000000000000128,-0.044,-0.041,-0.004,0.555,-0.106,-0.292,-0.261,0,60.0,0
216,0.003,0.003,1,0,43.61,0.28000000000000114,-0.052,-0.039,-0.013,0.638,-0.016,-0.194,-0.155,0,61.0,0
217,-0.008,-0.008,0,1,37.06,0.03999999999999915,-0.077,-0.051,-0.026,0.394,-0.25,-0.417,-0.357,0,62.0,1
218,-0.0,-0.0,0,0,36.81,0.030000000000001137,-0.096,-0.056,-0.04,0.381,-0.255,-0.41,-0.332,0,63.0,1
219,0.006,0.006,1,0,43.34,0.19000000000000128,-0.098,-0.046,-0.052,0.535,-0.093,-0.24,-0.156,0,64.0,0
220,-0.012,-0.012,0,1,35.25,-0.8300000000000018,-0.124,-0.058,-0.066,0.203,-0.415,-0.548,-0.44,0,65.0,1
221,0.006,0.006,1,0,41.0,-0.5800000000000018,-0.13,-0.051,-0.079,0.359,-0.25,-0.373,-0.253,0,66.0,1
222,0.006,0.012,2,0,46.16,-0.4200000000000017,-0.121,-0.034,-0.087,0.514,-0.088,-0.204,-0.084,0,67.0,0
223,0.0,0.012,0,0,46.47,-0.41000000000000014,-0.112,-0.019,-0.092,0.519,-0.077,-0.187,-0.067,0,68.0,0
224,0.004,0.016,1,0,50.23,-0.2900000000000027,-0.093,-0.001,-0.092,0.633,0.042,-0.064,0.048,0,69.0,0
225,-0.002,-0.002,0,1,48.69,-0.33999999999999986,-0.082,0.008,-0.09,0.577,-0.007,-0.11,-0.002,0,70.0,0
226,-0.001,-0.003,0,2,48.06,-0.35999999999999943,-0.074,0.013,-0.087,0.551,-0.027,-0.124,-0.02,0,71.0,0
227,0.001,0.001,1,0,49.48,-0.3200000000000003,-0.063,0.019,-0.082,0.586,0.013,-0.081,0.018,0,72.0,0
228,-0.006,-0.006,0,1,43.71,-0.5,-0.069,0.011,-0.08,0.401,-0.164,-0.251,-0.146,0,73.0,0
229,0.006,0.006,1,0,49.67,-0.33000000000000185,-0.059,0.017,-0.075,0.566,0.006,-0.078,0.021,0,74.0,0
230,0.002,0.008,2,0,51.31,-0.28000000000000114,-0.046,0.023,-0.069,0.61,0.055,-0.027,0.065,0,75.0,0
231,0.006,0.014,3,0,56.48,-0.10999999999999943,-0.022,0.038,-0.06,0.772,0.221,0.138,0.212,0,76.0,0
232,-0.016,-0.016,0,1,43.35,-0.5600000000000023,-0.039,0.017,-0.056,0.319,-0.225,-0.3,-0.215,0,77.0,0
233,-0.001,-0.017,0,2,42.87,-0.5800000000000018,-0.053,0.002,-0.055,0.296,-0.24,-0.307,-0.213,0,78.0,0
234,0.0,0.0,0,0,73.2,1.879999999999999,0.088,0.115,-0.027,2.184,1.637,1.54,1.536,0,1.0,0
235,-0.012,-0.012,0,1,66.08,1.3299999999999983,0.17,0.157,0.013,1.806,1.252,1.133,1.064,1,2.0,0
236,-0.0,-0.0,0,0,65.89,1.3199999999999967,0.231,0.174,0.056,1.778,1.217,1.079,0.953,1,3.0,0
237,-0.007,-0.007,0,1,61.65,1.0999999999999979,0.258,0.162,0.097,1.542,0.977,0.826,0.664,1,4.0,0
238,-0.008,-0.015,0,2,57.49,0.8699999999999974,0.259,0.129,0.129,1.299,0.732,0.572,0.392,1,5.0,0
